"Cursos","Total Repitencias"
"HISTORIA GENERAL DEL DERECHO Y DEL DERECHO PERUANO","25"
"HISTORIA GENERAL Y DEL PERÚ I (S. VI AL XV)","2"
"HISTORIA GENERALY DEL PERÚ II (S. XVI AL XVIII)","1"
"HISTORIA MEDIEVAL","10"
"HISTORIA MODERNA","5"
"HISTORIA MUNDIAL CONTEMPORÁNEA","4"
"HISTORIA MUNDIAL: ENTREGUERRAS HASTA LA ACTUALIDAD","3"
"HISTORIA MUNDIAL: REVOLUCIÓN FRANCESA HASTA LA PRIMERA GUERRA MUNDIAL","8"
"HISTORIA POLÍTICA","5"
"HISTORIA POLÍTICA CONTEMPORANEA","6"
"HISTORIA POLITICA PERUANA S. XX-XXI","1"
"HISTORIA SOCIAL","3"
"HISTORIA UNIVERSAL CONTEMPORÁNEA","1"
"HISTORIA UNIVERSAL Y CONTEMPORÁNEA","40"
"HISTORIA UNIVERSAL. PREHISTORIA","1"
"HISTORIA URBANA","1"
"HISTORIA Y GÉNERO","3"
"HISTORIOGRAFIA DEL ARTE","2"
"HISTORIOGRAFÍA MUNDIAL CONTEMPORÁNEA","3"
"HISTORIOGRAFÍA PERUANA","2"
"HISTORIOGRAFÍA PERUANA CONTEMPORÁNEA","8"
"HISTOTECNOLOGÍA","2"
"HORNOS METALURGICOS","1"
"HORNOS, COMBUSTIBLE Y COMBUSTION","4"
"HUMANIDADES","1"
"HUMANIZACIÓN Y CUIDADO DE LA SALUD EN EL PACIENTE","1"
"ICONOGRAFÍA","4"
"ICTIOPARASITOLOGÍA","2"
"IDENTIDAD SOCIAL, CULTURA GENERAL Y DISCIPLINAS PARTICIPATIVAS","15"
"IDEOLOGIAS POLITICAS COMTEMPORANEAS","5"
"IDEOLOGIAS POLITICAS CONTEMPORÁNEAS","2"
"IDIOMA DISTINTO AL INGLÉS","1"
"IDIOMA EXTRANJERO I: INGLÉS","1"
"IDIOMA EXTRANJERO II: FRANCÉS","1"
"IDIOMA EXTRANJERO II: INGLES","3"
"IDIOMA EXTRANJERO II: INGLÉS","1"
"IDIOMA EXTRANJERO III: INGLÉS","2"
"IDIOMA EXTRANJERO IV: INGLÉS","2"
"IMAGENOLOGIA APLICADA I","1"
"IMAGENOLOGIA APLICADA II","1"
"IMAGENOLOGIA APLICADA III","2"
"IMAGENOLOGIA BASICA","1"
"IMPACTO AMBIENTAL","5"
"IMPROVISACIÓN I","1"
"IMPUESTOS DIRECTOS","1"
"INDAGACIÓN CIENTÍFICA EN ALIMENTACIÓN Y NUTRICIÓN","4"
"INDAGACIÓN CIENTÍFICA EN ENFERMERÍA I","3"
"INDAGACIÓN CIENTÍFICA EN ENFERMERÍA II","4"
"INDAGACIÓN CIENTÍFICA EN OBSTETRICIA I","4"
"INFERENCIA ESTADÍSTICA BAYESIANA","3"
"INFERENCIA ESTADÍSTICA NO PARAMÉTRICA","4"
"INFERENCIA ESTADÍSTICA PARAMÉTRICA","1"
"INFORMACION FINANCIERA","8"
"INFORMACIÓN FINANCIERA","2"
"INFORMACIÓN Y SOCIEDAD","27"
"INFORMÁTICA APLICADA A LA CULTURA FÍSICA","3"
"INFORMATICA CONTABLE","8"
"INFORMÁTICA CONTABLE","11"
"INFORMÁTICA PARA ECONOMISTAS","41"
"INFORMÁTICA PARA ECONOMÍSTAS","14"
"INFRAESTRUCTURA Y SEGURIDAD EN REDES","3"
"INGENIERÍA AMBIENTAL","3"
"INGENIERIA ANTISISMICA","1"
"INGENIERÍA BIOQUÍMICA","3"
"INGENIERÍA DE CONTROL","5"
"INGENIERIA DE COSTOS","12"
"INGENIERÍA DE COSTOS","5"
"INGENIERÍA DE COSTOS B","2"
"INGENIERIA DE INFORMACION","4"
"INGENIERIA DE LA CORROSION","1"
"INGENIERIA DE LA INFORMACIÓN","1"
"INGENIERIA DE LOS RECURSOS HIDRAULICOS","1"
"INGENIERIA DE MATERIALES","1"
"INGENIERÍA DE MATERIALES","3"
"INGENIERIA DE NEGOCIOS","2"
"INGENIERÍA DE PIPING","9"
"INGENIERÍA DE PROCESOS I","1"
"INGENIERÍA DE PROCESOS II","1"
"INGENIERIA DE PROCESOS MINERO METALÚRGICOS.","1"
"INGENIERIA DE PROYECTOS","3"
"INGENIERÍA DE REQUISITOS","6"
"INGENIERIA DE SOFTWARE","14"
"INGENIERÍA DE SOFTWARE","19"
"INGENIERIA DEL PRODUCTO","3"
"INGENIERÍA DEL PRODUCTO","1"
"INGENIERIA ECONOMICA","6"
"INGENIERÍA ECONOMICA","9"
"INGENIERÍA ECONÓMICA","38"
"INGENIERIA ELECTRICA","1"
"INGENIERÍA GENÉTICA","4"
"INGENIERIA HIDRAULICA","9"
"INGENIERÍA TEXTIL Y PAPELERA","1"
"INGENIERÍA WEB","2"
"INGLÉS","6"
"INGLES APLICADO A LA CIENCIAS DE LA SALUD I","19"
"INGLES I","5"
"INGLÉS I","89"
"INGLES II","3"
"INGLÉS II","93"
"INGLÉS III","1"
"INGLÉS INTERMERDIO B","2"
"INGLÉS IV","2"
"INGLES TECNICO APLICADO A LAS CIENCIAS DE LA SALUD II","23"
"INGLÉS TÉCNICO I","4"
"INGLES TECNICO II","1"
"INGLÉS TÉCNICO II","1"
"INMUNODIAGNÓSTICO","6"
"INMUNOLOGIA","1"
"INMUNOLOGÍA","72"
"INMUNOLOGIA CLINICA","1"
"INMUNOLOGÍA Y GENÉTICA","29"
"INNOVACIÓN EMPRESARIAL EN ALIMENTACIÓN Y NUTRICIÓN","1"
"INNOVACIÓN, CAMBIO ORGANIZACIONAL Y EMPRENDIMIENTO","1"
"INNOVACIÓN, TECNOLOGÍA Y EMPRENDIMIENTO","5"
"INOCUIDAD DE ALIMENTOS","1"
"INOCUIDAD DE LOS ALIMENTOS","1"
"INSPECCIÓN Y CERTIFICACIÓN DE LOS ALIMENTOS","2"
"INSTALACIONES ELECTRICAS I","16"
"INSTALACIONES INTERIORES","4"
"INSTRUMENTACION BIOMEDICA","3"
"INSTRUMENTACIÓN BIOMEDICA I","2"
"INSTRUMENTACIÓN BIOMÉDICA I","1"
"INSTRUMENTACIÓN ELECTRÓNICA","3"
"INSTRUMENTACIÓN FISICA","1"
"INSTRUMENTOS E INDICADORES DE SOSTENIBILIDAD","3"
"INTEGRACIÓN BÁSICA","7"
"INTEGRACIÓN CLÍNICA","5"
"INTEGRACIÓN DE SISTEMAS","2"
"INTEGRACIÓN ECONÓMICA","4"
"INTEGRACIÓN MORFO FISIOLÓGICA","12"
"INTELIGENCIA ARTIFICIAL","28"
"INTELIGENCIA DE NEGOCIOS","6"
"INTELIGENCIA Y RELACIONES HUMANAS","3"
"INTELIGENCIAS DE NEGOCIOS","2"
"INTERCAMBIADORES DE CALOR","1"
"INTERCULTURALIDAD","5"
"INTERCULTURALIDAD Y EDUCACIÓN","8"
"INTERFACE HOMBRE COMPUTADOR","6"
"INTERNADO","5"
"INTERNADO EN ENFERMERÍA I","1"
"INTERNATIONAL FINANCE BUSINESS (EN INGLES)","1"
"INTERNATIONAL MANAGEMENT LOGISTIC (EN INGLES)","1"
"INTERNET DE LAS COSAS","1"
"INTERPRETACIÓN DE TEXTOS LITERARIOS","1"
"INTERPRETACION DE TEXTOS LITERARIOS I","23"
"INTERPRETACION DE TEXTOS LITERARIOS II","5"
"INTERPRETACION DE TEXTOS LITERARIOS III","5"
"INTERPRETACION DE TEXTOS LITERARIOS IV","1"
"INTERVENCIÓN EN COMUNIDAD","1"
"INTERVENCIÓN EN EMERGENCIAS Y DESASTRES","1"
"INTERVENCIÓN EN PSICOLOGÍA CLÍNICA","1"
"INTERVENCION EN PSICOLOGIA CLINICA Y DE LA SALUD I","4"
"INTERVENCION EN PSICOLOGIA CLINICA Y DE LA SALUD II","2"
"INTRODUCCION A LA ANTROPOLOGIA","3"
"INTRODUCCIÓN A LA ANTROPOLOGÍA","2"
"INTRODUCCIÓN A LA ASTRONOMÍA Y ASTROFÍSICA","1"
"INTRODUCCIÓN A LA BASE DE DATOS","1"
"INTRODUCCION A LA BIOLOGÍA Y CIENCIAS NATURALES","1"
"INTRODUCCIÓN A LA CIENCIA","179"
"INTRODUCCION A LA CIENCIA POLÍTICA","7"
"INTRODUCCIÓN A LA CIENCIA POLÍTICA","1"
"INTRODUCCIÓN A LA CLÍNICA","19"
"INTRODUCCION A LA CLINICA II","1"
"INTRODUCCION A LA COMERCIALIZACION DE ENERGIA ELECTRICA","3"
"INTRODUCCION A LA COMUNICACION SOCIAL","1"
"INTRODUCCIÓN A LA CONSERVACIÓN Y RESTAURACIÓN","4"
"INTRODUCCIÓN A LA CONTABILIDAD","27"
"INTRODUCCIÓN A LA EPISTEMOLOGÍA","3"
"INTRODUCCIÒN A LA ESTADÍSTICA","2"
"INTRODUCCION A LA FILOLOGIA","2"
"INTRODUCCIÓN A LA FILOSOFÍA","188"
"INTRODUCCIÓN A LA FILOSOFÍA DEL LENGUAJE","6"
"INTRODUCCIÓN A LA FILOSOFÍA Y TEORÍA DE LA CIENCIA","2"
"INTRODUCCIÓN A LA FISIOTERAPIA","2"
"INTRODUCCIÓN A LA GEOFISICA","1"
"INTRODUCCION A LA GEOMETRIA DIFERENCIAL","2"
"INTRODUCCIÓN A LA GESTIÓN CULTURAL","1"
"INTRODUCCION A LA HISTORIA","11"
"INTRODUCCIÓN A LA INTELIGENCIA ARTIFICIAL","4"
"INTRODUCCIÓN A LA INVESTIGACIÓN CIENTÍFICA","106"
"INTRODUCCION A LA LINGÜÍSTICA","3"
"INTRODUCCIÓN A LA LINGÜÍSTICA","1"
"INTRODUCCIÓN A LA LINGÜÍSTICA AMAZÓNICA","10"
"INTRODUCCIÓN A LA LINGÜÍSTICA ANDINA","5"
"INTRODUCCION A LA LINGÜÍSTICA HISPANICA","4"
"INTRODUCCION A LA LITERATURA GENERAL","1"
"INTRODUCCION A LA MATEMATICA SUPERIOR II","2"
"INTRODUCCION A LA METALURGIA","2"
"INTRODUCCIÓN A LA OBSTETRICIA Y LIDERAZGO","1"
"INTRODUCCIÓN A LA PETROLOGÍA METAMÓRFICA","2"
"INTRODUCCIÓN A LA PSIQUIATRÍA","4"
"INTRODUCCION A LA QUIMICA CUANTICA","1"
"INTRODUCCÍON A LA SISMOLOGÍA","1"
"INTRODUCCIÓN A LA SOCIOLOGÍA","3"
"INTRODUCCIÓN A LA TEORÍA Y FILOSOFÍA DE LA CIENCIA","1"
"INTRODUCCIÓN A LA TERAPIA OCUPACIONAL.","1"
"INTRODUCCION A LA TOPOLOGIA","3"
"INTRODUCCIÓN A LA TOPOLOGÍA","7"
"INTRODUCCIÓN A LAS CIENCIAS DEL LABORATORIO CLÍNICO","1"
"INTRODUCCIÓN A LAS CIENCIAS E INGENIERÍA","64"
"INTRODUCCION A LAS CIENCIAS SOCIALES","13"
"INTRODUCCIÓN A LAS CIENCIAS SOCIALES","3"
"INTRODUCCIÓN A LAS ECUACIONES DIFERENCIALES","10"
"INTRODUCCIÓN A LAS ECUACIONES DIFERENCIALES ORDINARIAS","6"
"INTRODUCCIÓN A LAS RADIOCOMUNICACIONES","2"
"INTRODUCCION A LAS TELECOMUNICACIONES","3"
"INTRODUCCIÓN AL CUIDADO DE ENFERMERÍA","3"
"INTRODUCCIÓN AL DERECHO","22"
"INTRODUCCION AL DERECHO CONSTITUCIONAL Y CIVIL","8"
"INTRODUCCIÓN AL DERECHO CONSTITUCIONAL Y CIVIL","2"
"INTRODUCCIÓN AL DESARROLLO DE SOFTWARE","2"
"INTRODUCCION AL LENGUAJE DE PROGRAMACION PARA CIENCIAS DE LA VIDA","3"
"INTRUMENTACIÓN BIOMEDICA II","3"
"INVERTEBRADOS ACELOMADOS Y PSEUDOCELOMADOS","3"
"INVERTEBRADOS CELOMADOS","5"
"INVERTEBRADOS RADIADOS Y PROTOSTOMADOS I","3"
"INVESTIGACIÓN ACADÉMICA","72"
"INVESTIGACIÓN APLICADA  PARA BACHILLER","4"
"INVESTIGACION APLICADA I PARA TITULO PROFESIONAL","22"
"INVESTIGACIÓN APLICADA I PARA TÍTULO PROFESIONAL","7"
"INVESTIGACION APLICADA II PARA TITULO PROFESIONAL","17"
"INVESTIGACIÓN APLICADA II PARA TÍTULO PROFESIONAL","3"
"INVESTIGACION APLICADA PARA BACHILLER","15"
"INVESTIGACIÓN CIENTÍFICA","7"
"INVESTIGACION DE MERCADO Y  MARKETING","2"
"INVESTIGACIÓN DE MERCADO Y MARKETING","1"
"INVESTIGACIÓN DE MERCADOS","21"
"INVESTIGACIÓN DE MERCADOS INTERNACIONALES","3"
"INVESTIGACIÓN DE MERCADOS TURÍSTICOS","5"
"INVESTIGACIÓN DE OPERACIONES","13"
"INVESTIGACIÓN ECONÓMICA EMPÍRICA","4"
"INVESTIGACIÓN EN CIENCIAS BIOLÓGICAS","3"
"INVESTIGACIÓN EN COMUNICACIÓN I","7"
"INVESTIGACION EN COMUNICACIÓN II","1"
"INVESTIGACIÓN EN COMUNICACIÓN II","14"
"INVESTIGACION EN HIDROBIOLOGIA PESQUERA","1"
"INVESTIGACION EN QUIMICA A","4"
"INVESTIGACION EN QUIMICA B","1"
"INVESTIGACIÓN FORMATIVA","74"
"INVESTIGACION OPERATIVA","5"
"INVESTIGACIÓN OPERATIVA","43"
"INVESTIGACIÓN OPERATIVA EN MINERÍA","4"
"INVESTIGACION OPERATIVA I","5"
"INVESTIGACIÓN OPERATIVA I","19"
"INVESTIGACION OPERATIVA II","5"
"INVESTIGACIÓN OPERATIVA II","20"
"INVESTIGACIÓN Y ESTADÍSTICA DE ACCIDENTES LABORALES","6"
"INVESTIGACIONES DE OPERACIONES","1"
"IRRIGACIONES","1"
"ITALIANO I","1"
"JUEGOS E INFORMACIÓN","2"
"JUEGOS MOTORES Y PRE DEPORTIVO","4"
"JUEGOS Y RONDAS INFANTILES","7"
"KINESIOTERAPIA","1"
"LAB. : DANZA","1"
"LAB. : DANZA II","1"
"LAB. : DEPORTE","3"
"LAB. : DEPORTE II","2"
"LAB. : GIMNASIA PARA EL DESARROLLO INFANTIL","1"
"LAB. : INFORMÁTICA APLICADA AL DEPORTE II","2"
"LABORATORIO CLÍNICO","5"
"LABORATORIO CLÍNICO VETERINARIO","2"
"LABORATORIO DE ANÁLISIS INSTRUMENTAL I","2"
"LABORATORIO DE ANÁLISIS INSTRUMENTAL II","1"
"LABORATORIO DE BIOLOGÍA","1"
"LABORATORIO DE BIOQUÍMICA","1"
"LABORATORIO DE FÍSICA INTEGRADA","2"
"LABORATORIO DE FISICOQUÍMICA I","6"
"LABORATORIO DE FISICOQUÍMICA II","9"
"LABORATORIO DE INGENIERÍA QUÍMICA I","2"
"LABORATORIO DE INGENIERIA QUIMICA II","1"
"LABORATORIO DE INGENIERÍA QUÍMICA II","3"
"LABORATORIO DE INSTRUMENTACIÓN Y CONTROL DE PROCESOS","2"
"LABORATORIO DE PROGRAMACION Y COMPUTACION","1"
"LABORATORIO DE QUIMICA","3"
"LABORATORIO DE QUÍMICA ANALÍTICA","4"
"LABORATORIO DE QUÍMICA INORGÁNICA II","2"
"LABORATORIO DE QUÍMICA INORGÁNICA III","6"
"LABORATORIO DE QUÍMICA INTEGRADA","3"
"LABORATORIO DE QUÍMICA ORGÁNICA I","17"
"LABORATORIO DE QUÍMICA ORGÁNICA II","3"
"LABORATORIO DE QUÍMICA ORGÁNICA III","3"
"LAS TIC EN LA EDUCACIÓN","7"
"LATIN GENERAL I","2"
"LATIN I","10"
"LATÍN I","8"
"LATIN II","11"
"LATIN III","1"
"LAVANDERÍA Y PROCESO DE PRENDAS","2"
"LECTURA ANALÍTICA DE MATERIAL CIENTÍFICO","11"
"LECTURAS LITERARIAS HISPANOAMERICANAS","1"
"LECTURAS LITERARIAS OCCIDENTALES I","19"
"LECTURAS LITERARIAS OCCIDENTALES II (SIGLOS XIX Y XX)","13"
"LECTURAS LITERARIAS PERUANAS","3"
"LEGISLACIÓN BIBLIOTECOLÓGICA Y PROPIEDAD INTELECTUAL","16"
"LEGISLACIÓN DE LA COMUNICACIÓN Y DERECHOS HUMANOS","1"
"LEGISLACIÓN DE LA MEDICINA VETERINARIA","1"
"LEGISLACIÓN ELECTORAL","4"
"LEGISLACIÓN EN EDUCACIÓN","8"
"LEGISLACIÓN ESCOLAR DEPORTIVA","1"
"LEGISLACIÓN ESCOLAR Y DEPORTIVA","11"
"LEGISLACIÓN MINERO METALÚRGICA","1"
"LEGISLACIÓN Y ADMINISTRACIÓN TRIBUTARIA","1"
"LEGISLACIÓN Y DEONTOLOGÍA DE LA COMUNICACIÓN AUDIOVISUAL","1"
"LEGISLACION Y NORMATIVIDAD ELECTRICA","14"
"LEGUAJES Y COMPILADORES","18"
"LENGUA ORIGINARIA I","5"
"LENGUA ORIGINARIA II","1"
"LENGUA Y CULTURA","21"
"LENGUAJE","74"
"LENGUAJE ACADÉMICO","100"
"LENGUAJE DE PROGRAMACION","19"
"LENGUAJE DE PROGRAMACIÓN","12"
"LENGUAJE I","62"
"LENGUAJE II","31"
"LENGUAJE Y COMUNICACIÓN","97"
"LENGUAJE Y REDACCIÓN","1"
"LENGUAJES Y COMPILADORES","47"
"LENGUAJES Y TRADUCTORES","5"
"LIDERAZGO EMPRESARIAL","3"
"LIDERAZGO Y PROYECCIÓN A LA COMUNIDAD","8"
"LINEAS DE TRANSMISIÓN DE POTENCIA","2"
"LINGÜÍSTICA","6"
"LINGÜÍSTICA APLICADA","5"
"LINGÜÍSTICA DEL TEXTO","1"
"LINGÜÍSTICA GENERAL","5"
"LINGÜÍSTICA HISTÓRICA ANDINA","1"
"LINGÜÍSTICA HISTÓRICA I","6"
"LINGÜÍSTICA TEXTUAL","1"
"LÍRICA Y FICCIÓN","1"
"LITERATURA BRASILEÑA I","2"
"LITERATURA BRASILEÑA II","1"
"LITERATURA COMPARADA","10"
"LITERATURA ESCRITA POR MUJERES I","5"
"LITERATURA ESCRITA POR MUJERES II","10"
"LITERATURA ESPAÑOLA","1"
"LITERATURA ESPAÑOLA CONTEMPORANEA","1"
"LITERATURA ESPAÑOLA DE LOS SIGLOS XVIII Y XIX","3"
"LITERATURA ESPAÑOLA MEDIEVAL","1"
"LITERATURA ESPAÑOLA SIGLOS DE ORO I","2"
"LITERATURA FRANCESA I","11"
"LITERATURA FRANCESA II","3"
"LITERATURA GRIEGA","6"
"LITERATURA HISPANOAMERICANA DEL SIGLO XIX","9"
"LITERATURA HISPANOAMERICANA DEL SIGLO XX:  POESÍA I","5"
"LITERATURA HISPANOAMERICANA DEL SIGLO XX: NARRATIVA I","4"
"LITERATURA HISPANOAMERICANA DEL SIGLO XX: NARRATIVA II","2"
"LITERATURA HISPANOAMERICANA DEL SIGLO XX: POESÍA II","1"
"LITERATURA IBEROAMERICANA DE LA CONQUISTA Y LA COLONIA","2"
"LITERATURA INFANTIL","1"
"LITERATURA INFANTIL Y JUVENIL","1"
"LITERATURA INGLESA I","5"
"LITERATURA INGLESA II","2"
"LITERATURA ITALIANA II","3"
"LITERATURA LATINA","5"
"LITERATURA LATINOAMERICANA","1"
"LITERATURA LATINOAMERICANA A","6"
"LITERATURA NORTEAMERICANA I","5"
"LITERATURA NORTEAMERICANA II","3"
"LITERATURA NORTEAMERICANA Y OTRAS DE HABLA INGLESA","1"
"LITERATURA OCCIDENTAL I","20"
"LITERATURA OCCIDENTAL II","6"
"LITERATURA OCCIDENTAL III","5"
"LITERATURA PERUANA","2"
"LITERATURA PERUANA A","2"
"LITERATURA PERUANA B","1"
"LITERATURA PERUANA C","3"
"LITERATURA PERUANA DE LA CONQUISTA Y LA COLONIA","12"
"LITERATURA PERUANA DEL SIGLO  XX: POESÍA II","3"
"LITERATURA PERUANA DEL SIGLO XIX","19"
"LITERATURA PERUANA DEL SIGLO XX: NARRATIVA I","12"
"LITERATURA PERUANA DEL SIGLO XX: NARRATIVA II","7"
"LITERATURA PERUANA DEL SIGLO XX: POESÍA I","17"
"LITERATURA PORTUGUESA","4"
"LITERATURA QUECHUA","9"
"LITERATURA UNIVERSAL","2"
"LITERATURA UNIVERSAL II (S. XIX - XX)","1"
"LITERATURA Y PERIODISMO","1"
"LITERATURAS AFROPERUANAS Y POPULARES","5"
"LITERATURAS AMERINDIAS","3"
"LITERATURAS MEDIEVALES","2"
"LITERATURAS ORALES Y ETNICAS DEL PERU I","10"
"LITERATURAS ORALES Y ETNICAS DEL PERU II","2"
"LITERATURAS Y CULTURAS AMAZÓNICAS","2"
"LlTIGACION ORAL","4"
"LOCALIZACIÓN Y DISTRIBUCIÓN DE PLANTA","9"
"LÓGICA","23"
"LÓGICA AVANZADA","3"
"LOGICA DE LENGUAS NATURALES","7"
"LÓGICA FORMAL","1"
"LÓGICA I","3"
"LOGISTICA","1"
"LOGÍSTICA","8"
"LOGÍSTICA EN EL SECTOR PÚBLICO","2"
"LOGÍSTICA EN EMPRESAS DE SERVICIOS TURÍSTICOS","1"
"LOGÍSTICA Y CADENA DE SUMINISTRO","15"
"LOGISTICA Y CADENA DE SUMINISTROS","13"
"LOGÍSTICA Y CADENA DE SUMINISTROS","20"
"MACROBENTOS DE AGUA DULCE","1"
"MACROECONOMIA","51"
"MACROECONOMÍA","42"
"MACROECONOMÍA I","44"
"MACROECONOMÍA II","52"
"MACROECONOMÍA III","17"
"MACROECONOMÍA PARA PAÍSES EN DESARROLLO","2"
"MACROECONOMIA Y POLÍTICA ECONÓMICA","21"
"MANAGEMENT HOSPITALITY INTERNATIONAL","8"
"MANEJO DE HERRAMIENTAS DIDACTICAS","1"
"MANEJO DE INSTRUMENTAL QUIRÚRGICO Y EQUIPOS AUXILIARES","1"
"MANEJO DE INSTRUMENTAL Y EQUIPO DE LABORATORIO","4"
"MANEJO INTEGRAL DE CUENCAS HIDROGRÁFICAS","5"
"MANIFESTACIONES CULTURALES, ARTE Y DEPORTES","9"
"MANTENIMIENTO INDUSTRIAL","2"
"MÁQUINA Y EQUIPO","18"
"MAQUINAS  ELÉCTRICAS II","5"
"MÁQUINAS ELÉCTRICAS","3"
"MAQUINAS ELECTRICAS  I","4"
"MAQUINAS ELECTRICAS I","2"
"MAQUINAS ELECTRICAS II","2"
"MAQUINAS ELECTRICAS III","10"
"MAQUINAS TERMICAS","1"
"MÁQUINAS Y EQUIPOS","5"
"MÁQUINAS Y EQUIPOS AGROINDUSTRIALES","1"
"MARKETING","12"
"MARKETING DE SERVICIOS","5"
"MARKETING DE SERVICIOS TURÍSTICOS","4"
"MARKETING DIGITAL","2"
"MARKETING EN SALUD","2"
"MARKETING INTERNACIONAL","8"
"MARKETING INTERNACIONAL Y GLOBAL","1"
"MARKETING POLITICO","2"
"MARKETING SOCIAL","9"
"MARKETING Y PROPAGANDA ELECTORAL","6"
"MATEMÁTICA APLICADA","1"
"MATEMÁTICA APLICADA A LA GEOGRAFÍA","4"
"MATEMÁTICA APLICADA A LAS CIENCIAS SOCIALES Y HUMANAS","256"
"MATEMÁTICA BASICA","1"
"MATEMÁTICA BÁSICA","238"
"MATEMATICA BASICA II","4"
"MATEMATICA COMPUTACIONAL I","1"
"MATEMÁTICA COMPUTACIONAL I","1"
"MATEMATICA COMPUTACIONAL II","1"
"MATEMÁTICA DISCRETA","7"
"MATEMATICA FINANCIERA","43"
"MATEMÁTICA FINANCIERA","44"
"MATEMÁTICA FINANCIERA Y ACTUARIAL","15"
"MATEMÁTICA I","133"
"MATEMATICA II","1"
"MATEMÁTICA II","158"
"MATEMATICA III","1"
"MATEMÁTICA INTEGRADA","1"
"MATEMÁTICA IV","3"
"MATEMATICA PARA ECONOMIA I","48"
"MATEMATICA PARA ECONOMIA II","25"
"MATEMÁTICA PARA ECONOMÍA III","39"
"MATEMÁTICA PARA ECONOMÍA IV","58"
"MATEMÁTICAS DISCRETAS","12"
"MATEMÁTICAS II","1"
"MATERIALES DE INGENIERIA","5"
"MECANICA APLICADA","7"
"MECÁNICA APLICADA","27"
"MECÁNICA CLÁSICA I","18"
"MECÁNICA CLÁSICA II","3"
"MECÁNICA CUÁNTICA","5"
"MECANICA CUANTICA I","1"
"MECÁNICA CUÁNTICA I","3"
"MECANICA CUANTICA II","4"
"MECÁNICA CUÁNTICA II","2"
"MECANICA DE FLUIDOS","8"
"MECÁNICA DE FLUIDOS","22"
"MECÁNICA DE FLUÍDOS","22"
"MECÁNICA DE FLUIDOS FUNDAMENTAL","14"
"MECÁNICA DE MEDIOS CONTINUOS","25"
"MECANICA DE ROCAS","3"
"MECÁNICA DE ROCAS APLICADA A LA MINERÍA","2"
"MECANICA DE ROCAS I","1"
"MECANICA DE SUELOS","2"
"MECÁNICA DE SUELOS","4"
"MECANICA DE SUELOS II","2"
"MECÁNICA GENERAL","2"
"MECÁNICA Y RESISTENCIA DE MATERIALES","2"
"MECATRONICA","1"
"MEDIACIÓN, CONCILIACIÓN Y ARBITRAJE","10"
"MEDICINA DEL TRABAJO","1"
"MEDICINA EN EL TRABAJO","1"
"MEDICINA EN MASCOTAS EXÓTICAS","1"
"MEDICINA ESTOMATOLOGICA I","4"
"MEDICINA ESTOMATOLOGICA IV","1"
"MEDICINA INTERNA","34"
"MEDICINA LEGAL","27"
"MEDICINA LEGAL EN OBSTETRICIA","1"
"MEDICINA NUCLEAR","1"
"MEDICINA TRADICIONAL ALTERNATIVA Y COMPLEMENTARIA EN OBSTETRICIA","2"
"MEDICINA TRADICIONAL Y COMPLEMENTARIA","1"
"MEDICINA TRANSFUSIONAL Y BANCO DE SANGRE","2"
"MEDICINA, FAMILIA Y COMUNIDAD","5"
"MEDICIONES ELECTRONICAS","1"
"MEDIDAS  ELECTRICAS","43"
"MEDIDAS ELECTRICAS I","1"
"MEDIDAS ELECTRICAS II","3"
"MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE","113"
"MEDIOS DE TRANSMISIÓN","23"
"MEDIOS ELECTRÓNICOS APLICACIÓN A LA POLITICA","4"
"MEGADIVERSIDAD DEL TERRITORIO PERUANO","5"
"MEJORAMIENTO GENÉTICO ANIMAL","2"
"MERCADO DE CAPITALES","8"
"MERCADO DE VALORES","12"
"MERCADOS FINANCIEROS","50"
"MERCADOTECNIA INTERNACIONAL","1"
"METALOGRAFÍA","3"
"METALURGIA DE LOS MATERIALES I","39"
"METALURGIA DE LOS MATERIALES II","2"
"METALÚRGIA Y GESTIÓN DEL MEDIO AMBIENTE","1"
"METEOROLOGIA","1"
"METEOROLOGÍA","12"
"METEOROLOGIA Y CLIMATOLOGIA","4"
"METEOROLOGÍA Y CLIMATOLOGÍA","3"
"METEROROLOGÍA","3"
"MÉTODO DE LOS ELEMENTOS FINITOS","8"
"METODOLOGIA DE ENSEÑANZA DE SEGUNDA LENGUA","1"
"METODOLOGÍA DE INVESTIGACIÓN EN CIENCIAS VETERINARIAS","3"
"METODOLOGÍA DE INVESTIGACIÓN Y PREPARACIÓN DE TESIS","2"
"METODOLOGIA DE LA  INVESTIGACION CIENTIFICA","3"
"METODOLOGÍA DE LA DANZA II","2"
"METODOLOGIA DE LA ELABORACIÓN DE TESIS","13"
"METODOLOGIA DE LA ENSEÑANZA EN FISICA","3"
"METODOLOGÍA DE LA HISTORIA","14"
"METODOLOGÍA DE LA HISTORIA: INVESTIGACIÓN CUANTITATIVA","2"
"METODOLOGIA DE LA INVESTIGACION","2"
"METODOLOGÍA DE LA INVESTIGACION","11"
"METODOLOGÍA DE LA INVESTIGACIÓN","27"
"METODOLOGIA DE LA INVESTIGACION CIENTIFICA","20"
"METODOLOGIA DE LA INVESTIGACIÓN CIENTIFICA","1"
"METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA","19"
"METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA EN EDUCACIÓN","4"
"METODOLOGÍA DE LA INVESTIGACIÓN CIENTIFICA EN EDUCACIÓN FISICA I","4"
